,Initialization,lambda,Repeat,Num Obs,Obs Dim,centroids_prior_cov_prefactor,likelihood_cov_prefactor,Num True Clusters,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
285,dp-means++,3.981071705534969,6,1000,13,10.0,1.0,10,5.187397018074989,2,835,835,11413.089521412512,0.901005005005005,0.006909495107122044,0.09002587275806347,0.5132622408515042
286,dp-means++,7.943282347242813,6,1000,13,10.0,1.0,10,0.4650153759866953,7,18,18,23598.99007359558,0.9728548548548549,0.8273792795325103,0.911017258594033,0.9139210595393176
287,dp-means++,15.848931924611142,6,1000,13,10.0,1.0,10,0.34219817258417606,5,11,11,24977.119670163687,0.9888408408408409,0.9365645247528959,0.9642057868527659,0.9649177089431902
288,dp-means++,31.622776601683793,6,1000,13,10.0,1.0,10,0.15330927819013596,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
289,dp-means++,63.0957344480193,6,1000,13,10.0,1.0,10,0.15307443402707577,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
290,dp-means++,125.89254117941663,6,1000,13,10.0,1.0,10,0.15307007171213627,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
291,dp-means++,251.18864315095772,6,1000,13,10.0,1.0,10,0.15289230830967426,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
292,dp-means++,501.18723362727246,6,1000,13,10.0,1.0,10,0.153000608086586,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
293,dp-means++,1000.0,6,1000,13,10.0,1.0,10,0.1529827881604433,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
294,dp-means,0.001,7,1000,13,10.0,1.0,10,0.39060910791158676,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
