Adjusted Rand Score,Num Initial Clusters,_step,_runtime,_timestamp,Rand Score,Num Inferred Clusters,Num Iter Till Convergence,Adjusted Mutual Info Score,Normalized Mutual Info Score,Loss,_wandb,Runtime,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
0.0,1.0,0.0,2.0,1641336185.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,55269.747369574325,{'runtime': 3},0.051021164283156395,1000,25,3,0,dp-means++,100.0,10.0,10,finished,9h6ic3hn,apricot-sweep-949,1.0
0.0,1.0,0.0,1.0,1641336184.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,195254.7614296987,{'runtime': 3},0.06267560087144375,1000,5,10,1,dp-means++,100.0,10.0,10,finished,9h6ic3hn,good-sweep-948,1.0
0.0,1.0,0.0,2.0,1641336182.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,170450.56214988875,{'runtime': 3},0.07226616144180298,1000,5,10,0,dp-means++,100.0,10.0,10,finished,9h6ic3hn,floral-sweep-947,1.0
0.0,1.0,0.0,2.0,1641336180.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,53701.85174278203,{'runtime': 3},0.11574384197592737,1000,5,3,1,dp-means++,100.0,10.0,10,finished,9h6ic3hn,fresh-sweep-946,1.0
0.0,1.0,0.0,1.0,1641336177.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,207542.56929231383,{'runtime': 3},0.05599043145775795,1000,25,10,1,dp-means++,50.0,10.0,10,finished,9h6ic3hn,glowing-sweep-944,1.0
0.0,1.0,0.0,2.0,1641336177.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,58106.08061588477,{'runtime': 3},0.05672373250126839,1000,5,3,0,dp-means++,100.0,10.0,10,finished,9h6ic3hn,misunderstood-sweep-945,1.0
0.0,1.0,0.0,2.0,1641336180.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,204697.183486117,{'runtime': 3},0.06896931678056717,1000,25,10,0,dp-means++,50.0,10.0,10,finished,9h6ic3hn,smart-sweep-943,1.0
0.0,1.0,0.0,2.0,1641336177.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,64445.25908746585,{'runtime': 3},0.05724361911416054,1000,25,3,1,dp-means++,50.0,10.0,10,finished,9h6ic3hn,different-sweep-942,1.0
0.0,1.0,0.0,1.0,1641336175.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,55269.747369574325,{'runtime': 3},0.05390295572578907,1000,25,3,0,dp-means++,50.0,10.0,10,finished,9h6ic3hn,floral-sweep-941,1.0
0.0,1.0,0.0,2.0,1641336175.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,195254.7614296987,{'runtime': 3},0.07009217143058777,1000,5,10,1,dp-means++,50.0,10.0,10,finished,9h6ic3hn,avid-sweep-940,1.0
0.0,1.0,0.0,1.0,1641336171.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,170450.56214988875,{'runtime': 3},0.0715083759278059,1000,5,10,0,dp-means++,50.0,10.0,10,finished,9h6ic3hn,vocal-sweep-939,1.0
0.0,1.0,0.0,2.0,1641336170.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,58106.08061588477,{'runtime': 3},0.05426163971424103,1000,5,3,0,dp-means++,50.0,10.0,10,finished,9h6ic3hn,snowy-sweep-937,1.0
0.0,1.0,0.0,2.0,1641336171.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,53701.85174278203,{'runtime': 3},0.06864717323333025,1000,5,3,1,dp-means++,50.0,10.0,10,finished,9h6ic3hn,zany-sweep-938,1.0
0.07815221107709447,330.0,0.0,2.0,1641336169.0,0.9597297297297296,332.0,5.0,0.2870655962277454,0.602787954214006,35419.90848964674,{'runtime': 4},1.0044452007859943,1000,25,10,1,dp-means++,10.0,10.0,10,finished,9h6ic3hn,glamorous-sweep-936,1.0
0.06547434207938331,330.0,0.0,3.0,1641336168.0,0.9597437437437436,333.0,6.0,0.25800782281526174,0.5898757430632965,37499.01415340675,{'runtime': 4},0.912532415241003,1000,25,10,0,dp-means++,10.0,10.0,10,finished,9h6ic3hn,lilac-sweep-935,1.0
0.10948083414005712,10.0,0.0,3.0,1641336166.0,0.8923103103103103,13.0,27.0,0.27983940869091894,0.31754890718924633,15742.024676964023,{'runtime': 4},1.6091539431363344,1000,25,3,1,dp-means++,10.0,10.0,10,finished,9h6ic3hn,solar-sweep-934,1.0
0.038533736940221754,198.0,0.0,3.0,1641336164.0,0.8039159159159159,200.0,8.0,0.29730552889460665,0.3886372997946177,44319.69187139675,{'runtime': 3},0.6041830889880657,1000,5,10,0,dp-means++,10.0,10.0,10,finished,9h6ic3hn,neat-sweep-931,1.0
0.0736234209430118,12.0,0.0,2.0,1641336162.0,0.8980760760760761,18.0,30.0,0.2114673393358016,0.26732526876825097,12229.021507680503,{'runtime': 4},1.0041586514562368,1000,25,3,0,dp-means++,10.0,10.0,10,finished,9h6ic3hn,driven-sweep-933,1.0
0.0429418371508485,226.0,0.0,2.0,1641336162.0,0.8051491491491491,227.0,8.0,0.3219885923428438,0.4193547833757495,42707.89347543854,{'runtime': 3},0.6312574986368418,1000,5,10,1,dp-means++,10.0,10.0,10,finished,9h6ic3hn,graceful-sweep-932,1.0
0.12966916048959637,11.0,0.0,2.0,1641336161.0,0.7874914914914914,15.0,42.0,0.267932367881634,0.277670790616299,11417.57200285275,{'runtime': 3},1.1716591883450749,1000,5,3,1,dp-means++,10.0,10.0,10,finished,9h6ic3hn,prime-sweep-930,1.0
0.1153098516066422,8.0,0.0,3.0,1641336157.0,0.7654014014014014,10.0,39.0,0.20605079496997697,0.21355807147966707,17323.544792367593,{'runtime': 4},1.217326669022441,1000,5,3,0,dp-means++,10.0,10.0,10,finished,9h6ic3hn,lucky-sweep-929,1.0
0.0007435850567643896,986.0,0.0,8.0,1641336161.0,0.95996996996997,986.0,2.0,0.0055467245295025384,0.633678810946277,5472.559393581134,{'runtime': 9},5.791157698258758,1000,25,10,1,dp-means++,5.0,10.0,10,finished,9h6ic3hn,honest-sweep-928,1.0
