Num Iter Till Convergence,Loss,_wandb,Runtime,_timestamp,Adjusted Rand Score,Num Initial Clusters,Num Inferred Clusters,Adjusted Mutual Info Score,_step,_runtime,Rand Score,Normalized Mutual Info Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
2.0,1778.2052231745515,{'runtime': 8},4.8618878200650215,1641342980.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,500.0,10.0,10,finished,1s4yi7j8,northern-sweep-953,1.0
2.0,903.332823986733,{'runtime': 9},6.086707703769207,1641342982.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,500.0,10.0,10,finished,1s4yi7j8,fragrant-sweep-954,1.0
2.0,11885.020653666768,{'runtime': 9},6.237746555823833,1641342983.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,9.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,500.0,10.0,10,finished,1s4yi7j8,gallant-sweep-955,1.0
2.0,5321.619918986742,{'runtime': 9},6.514001343399286,1641342978.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,100.0,10.0,10,finished,1s4yi7j8,spring-sweep-952,1.0
2.0,9353.881215471309,{'runtime': 9},5.7638846300542355,1641342975.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,100.0,10.0,10,finished,1s4yi7j8,sweet-sweep-951,1.0
2.0,809.5334352538689,{'runtime': 8},5.44695452041924,1641342971.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,100.0,10.0,10,finished,1s4yi7j8,radiant-sweep-950,1.0
2.0,636.3450685232825,{'runtime': 9},6.142893960699439,1641342970.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,100.0,10.0,10,finished,1s4yi7j8,effortless-sweep-949,1.0
2.0,10888.146224020558,{'runtime': 8},5.698835726827383,1641342964.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,7.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,100.0,10.0,10,finished,1s4yi7j8,swift-sweep-948,1.0
2.0,11885.020653666768,{'runtime': 8},5.583584703505039,1641342964.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,100.0,10.0,10,finished,1s4yi7j8,lively-sweep-947,1.0
2.0,903.3328239867332,{'runtime': 9},6.510629506781697,1641342965.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,100.0,10.0,10,finished,1s4yi7j8,swept-sweep-946,1.0
2.0,1778.2052231745515,{'runtime': 7},4.946649547666311,1641342961.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,6.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,100.0,10.0,10,finished,1s4yi7j8,drawn-sweep-945,1.0
2.0,9353.881215471309,{'runtime': 9},6.676227471791208,1641342963.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,50.0,10.0,10,finished,1s4yi7j8,sandy-sweep-943,1.0
2.0,5321.619918986742,{'runtime': 10},7.316900560632348,1641342962.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,9.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,50.0,10.0,10,finished,1s4yi7j8,copper-sweep-944,1.0
2.0,809.5334352538689,{'runtime': 8},4.920519718900323,1641342961.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,6.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,50.0,10.0,10,finished,1s4yi7j8,cool-sweep-942,1.0
2.0,636.3450685232825,{'runtime': 7},4.035255527123809,1641342955.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,6.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,50.0,10.0,10,finished,1s4yi7j8,wobbly-sweep-941,1.0
2.0,10888.146224020558,{'runtime': 12},8.88414254784584,1641342959.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,11.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,50.0,10.0,10,finished,1s4yi7j8,silver-sweep-940,1.0
2.0,11885.020653666768,{'runtime': 9},5.895989544689655,1641342955.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,50.0,10.0,10,finished,1s4yi7j8,stoic-sweep-939,1.0
2.0,903.332823986733,{'runtime': 8},5.265865596011281,1641342950.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,7.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,50.0,10.0,10,finished,1s4yi7j8,ethereal-sweep-938,1.0
2.0,1778.2052231745515,{'runtime': 9},6.045473121106625,1641342950.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,50.0,10.0,10,finished,1s4yi7j8,peachy-sweep-937,1.0
2.0,5321.619918986742,{'runtime': 9},5.841859146952629,1641342944.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,10.0,10.0,10,finished,1s4yi7j8,jumping-sweep-936,1.0
